datetime	open	high	low	close	volume
01.06.1999 00:00	0.548	0.548	0.53002	0.53002	778000
02.06.1999 00:00	0.534	0.534	0.495	0.5035	1926000
03.06.1999 00:00	0.499	0.54	0.499	0.535	3346000
04.06.1999 00:00	0.547	0.553	0.53	0.55	4694000
07.06.1999 00:00	0.558	0.5739	0.55	0.5674	3505000
08.06.1999 00:00	0.57	0.6	0.57	0.585	3358000
09.06.1999 00:00	0.578	0.605	0.578	0.6	5309000
10.06.1999 00:00	0.609	0.645	0.609	0.626	7798000
11.06.1999 00:00	0.62	0.71	0.62	0.71	4830000
15.06.1999 00:00	0.7	0.7	0.67	0.673	3249000
16.06.1999 00:00	0.6716	0.76	0.665	0.76	4505000
17.06.1999 00:00	0.7751	0.9	0.77	0.825	7110000
18.06.1999 00:00	0.82	1.04	0.8	0.985	13639000
21.06.1999 00:00	1.04	1.35	1.04	1.296	18086000
22.06.1999 00:00	1.32	1.395	1.101	1.21	14196000
23.06.1999 00:00	1.245	1.245	1.06	1.09	6083000
24.06.1999 00:00	1.14	1.165	1.08	1.093	6794000
25.06.1999 00:00	1.12	1.12	0.99	1.057	3373000
28.06.1999 00:00	1.06001	1.075	0.995	1.02	4313000
29.06.1999 00:00	1.025	1.04999	1.02	1.023	5072000
30.06.1999 00:00	1.045	1.14	1.021	1.032	8505000
01.07.1999 00:00	1.1	1.13	1.052	1.12	8477000
02.07.1999 00:00	1.15	1.195	1.108	1.144	7456000
05.07.1999 00:00	1.15	1.192	1.15	1.175	7242000
06.07.1999 00:00	1.198	1.25	1.198	1.225	10426000
07.07.1999 00:00	1.24	1.254	1.11	1.181	16199000
08.07.1999 00:00	1.188	1.2001	1.151	1.151	10014000
09.07.1999 00:00	1.15	1.1639	1.115	1.144	10751000
12.07.1999 00:00	1.16	1.16	1.05	1.051	7895000
13.07.1999 00:00	1.096	1.1	0.97001	0.975	16181000
14.07.1999 00:00	1.0	1.055	0.98	1.045	17553000
15.07.1999 00:00	1.011	1.035	0.983	0.999	8783000
16.07.1999 00:00	0.99	0.998	0.97001	0.976	2691000
19.07.1999 00:00	0.965	0.97	0.922	0.922	6895000
20.07.1999 00:00	0.9	0.95	0.8835	0.90199	8280000
21.07.1999 00:00	0.87	0.87999	0.8225	0.84595	7317000
22.07.1999 00:00	0.9	0.92	0.842	0.86	12935000
23.07.1999 00:00	0.84	0.88888	0.84	0.8805	7311000
26.07.1999 00:00	0.875	0.93	0.865	0.87	9813000
27.07.1999 00:00	0.875	0.89	0.847	0.852	8232000
28.07.1999 00:00	0.866	0.866	0.8	0.808	13970000
29.07.1999 00:00	0.814	0.814	0.68001	0.685	17150000
30.07.1999 00:00	0.7105	0.76498	0.685	0.74998	14796000
02.08.1999 00:00	0.78	0.792	0.703	0.733	8221000
03.08.1999 00:00	0.729	0.74	0.706	0.7355	12723000
04.08.1999 00:00	0.718	0.718	0.641	0.675	11839000
05.08.1999 00:00	0.66	0.68	0.6	0.64	17282000
06.08.1999 00:00	0.66	0.693	0.638	0.676	12647000
09.08.1999 00:00	0.5	0.655	0.5	0.654	21392000
10.08.1999 00:00	0.671	0.695	0.63	0.655	20787000
11.08.1999 00:00	0.645	0.69998	0.64	0.693	24864000
12.08.1999 00:00	0.715	0.755	0.686	0.75	17815000
13.08.1999 00:00	0.73	0.735	0.701	0.715	13659000
16.08.1999 00:00	0.75	0.75	0.715	0.738	8710000
17.08.1999 00:00	0.732	0.745	0.7152	0.72	6625000
18.08.1999 00:00	0.72201	0.725	0.707	0.712	3815000
19.08.1999 00:00	0.709	0.738	0.702	0.7225	6943000
20.08.1999 00:00	0.72	0.747	0.716	0.747	5152000
23.08.1999 00:00	0.755	0.835	0.755	0.835	16045000
25.08.1999 00:00	0.846	0.853	0.821	0.83798	7832000
26.08.1999 00:00	0.82	0.82	0.76001	0.767	21929000
27.08.1999 00:00	0.751	0.76999	0.73	0.745	12763000
30.08.1999 00:00	0.715	0.7435	0.70502	0.70901	14164000
31.08.1999 00:00	0.685	0.743	0.675	0.731	14588000
01.09.1999 00:00	0.71212	0.75	0.7	0.732	11571000
02.09.1999 00:00	0.765	0.77	0.706	0.706	15876000
03.09.1999 00:00	0.715	0.75899	0.7071	0.75	12085000
06.09.1999 00:00	0.758	0.77	0.74002	0.755	10567000
07.09.1999 00:00	0.751	0.776	0.74701	0.765	14948000
08.09.1999 00:00	0.75	0.756	0.71502	0.726	16362000
09.09.1999 00:00	0.71502	0.745	0.685	0.739	26308000
10.09.1999 00:00	0.75	0.75799	0.725	0.74	17983000
13.09.1999 00:00	0.721	0.73	0.673	0.678	22636000
14.09.1999 00:00	0.7	0.718	0.66	0.675	10410000
15.09.1999 00:00	0.66	0.685	0.601	0.63505	17599000
16.09.1999 00:00	0.59001	0.6285	0.57	0.57	21544000
17.09.1999 00:00	0.575	0.585	0.501	0.56002	20112000
20.09.1999 00:00	0.585	0.598	0.515	0.526	20043000
21.09.1999 00:00	0.535	0.535	0.501	0.506	10543000
22.09.1999 00:00	0.5	0.555	0.5	0.5545	11482000
23.09.1999 00:00	0.565	0.58	0.54	0.57001	17202000
24.09.1999 00:00	0.56	0.58	0.545	0.567	8423000
27.09.1999 00:00	0.55	0.603	0.55	0.603	11958000
28.09.1999 00:00	0.595	0.6	0.55002	0.556	19178000
30.09.1999 00:00	0.532	0.536	0.501	0.517	15312000
01.10.1999 00:00	0.529	0.545	0.521	0.5389	4631000
04.10.1999 00:00	0.55	0.583	0.54	0.569	9802000
05.10.1999 00:00	0.587	0.587	0.562	0.581	9877000
06.10.1999 00:00	0.58	0.5815	0.561	0.5615	5828000
07.10.1999 00:00	0.565	0.5734	0.556	0.573	6000000
