datetime	open	high	low	close	volume
04.01.2000 00:00	1.02	1.02	1.0	1.0	1787000
05.01.2000 00:00	1.15	1.27	1.08	1.22	29939000
07.01.2000 00:00	1.23	1.28	1.23	1.27	14953000
10.01.2000 00:00	1.31	1.39	1.26	1.34	64310000
11.01.2000 00:00	1.34	1.34	1.19	1.22	35747000
12.01.2000 00:00	1.14	1.31	1.1	1.27	45203000
13.01.2000 00:00	1.26	1.49	1.25	1.39	69533000
14.01.2000 00:00	1.45	1.54	1.41	1.5	40991000
17.01.2000 00:00	1.53	1.54	1.36	1.38	40956000
18.01.2000 00:00	1.36	1.48	1.31	1.32	49576000
19.01.2000 00:00	1.32	1.33	1.21	1.22	41743000
20.01.2000 00:00	1.28	1.34	1.26	1.34	33957000
21.01.2000 00:00	1.32	1.39	1.29	1.37	42355000
24.01.2000 00:00	1.37	1.39	1.23	1.24	35438000
25.01.2000 00:00	1.18	1.24	1.13	1.19	48732000
26.01.2000 00:00	1.2	1.27	1.18	1.25	27823000
27.01.2000 00:00	1.26	1.34	1.26	1.33	38343000
28.01.2000 00:00	1.32	1.35	1.2	1.2	44149000
31.01.2000 00:00	1.15	1.18	1.12	1.14	26735000
01.02.2000 00:00	1.16	1.21	1.12	1.13	27332000
02.02.2000 00:00	1.15	1.19	1.12	1.14	26271000
03.02.2000 00:00	1.14	1.23	1.12	1.21	35651000
04.02.2000 00:00	1.22	1.26	1.22	1.24	17851000
07.02.2000 00:00	1.25	1.28	1.22	1.24	28333000
08.02.2000 00:00	1.24	1.31	1.24	1.3	35494000
09.02.2000 00:00	1.33	1.38	1.3	1.31	45658000
10.02.2000 00:00	1.28	1.33	1.28	1.3	25444000
11.02.2000 00:00	1.32	1.34	1.29	1.3	19157000
14.02.2000 00:00	1.36	1.45	1.32	1.32	33855000
15.02.2000 00:00	1.33	1.33	1.27	1.27	17500000
16.02.2000 00:00	1.29	1.34	1.29	1.34	28356000
17.02.2000 00:00	1.32	1.39	1.3	1.38	30512000
18.02.2000 00:00	1.37	1.39	1.36	1.37	14073000
21.02.2000 00:00	1.35	1.37	1.32	1.35	16703000
22.02.2000 00:00	1.37	1.39	1.36	1.37	23347000
23.02.2000 00:00	1.38	1.42	1.38	1.4	27286000
24.02.2000 00:00	1.41	1.45	1.41	1.43	18155000
25.02.2000 00:00	1.41	1.43	1.35	1.37	24146000
28.02.2000 00:00	1.33	1.36	1.29	1.3	22368000
29.02.2000 00:00	1.33	1.36	1.31	1.35	22122000
01.03.2000 00:00	1.37	1.4	1.36	1.39	19378000
02.03.2000 00:00	1.4	1.4	1.36	1.37	19938000
03.03.2000 00:00	1.37	1.41	1.35	1.41	19913000
06.03.2000 00:00	1.43	1.45	1.4	1.41	29751000
08.03.2000 00:00	1.4	1.48	1.38	1.47	32704000
09.03.2000 00:00	1.51	1.5699999999999998	1.51	1.54	56339000
10.03.2000 00:00	1.5699999999999998	1.64	1.52	1.62	107251000
13.03.2000 00:00	1.5699999999999998	1.62	1.51	1.53	49595000
14.03.2000 00:00	1.5699999999999998	1.6	1.55	1.5699999999999998	65756000
15.03.2000 00:00	1.5699999999999998	1.5699999999999998	1.48	1.49	84805000
16.03.2000 00:00	1.52	1.54	1.42	1.44	63952000
17.03.2000 00:00	1.47	1.5	1.41	1.43	37372000
20.03.2000 00:00	1.42	1.42	1.37	1.4	29653000
21.03.2000 00:00	1.38	1.46	1.37	1.46	23107000
22.03.2000 00:00	1.5	1.53	1.47	1.51	36804000
23.03.2000 00:00	1.53	1.6	1.5	1.53	79075000
24.03.2000 00:00	1.47	1.59	1.47	1.52	50497000
27.03.2000 00:00	1.47	1.59	1.47	1.52	42618000
28.03.2000 00:00	1.44	1.46	1.39	1.4	20141000
29.03.2000 00:00	1.4	1.44	1.4	1.44	11181000
30.03.2000 00:00	1.43	1.43	1.36	1.39	16526000
31.03.2000 00:00	1.36	1.42	1.32	1.42	21099000
03.04.2000 00:00	1.42	1.42	1.37	1.39	16939000
04.04.2000 00:00	1.39	1.55	1.38	1.52	84159000
05.04.2000 00:00	1.48	1.51	1.39	1.4	48853000
06.04.2000 00:00	1.41	1.46	1.41	1.43	23364000
07.04.2000 00:00	1.42	1.43	1.39	1.42	19315000
10.04.2000 00:00	1.4	1.55	1.4	1.55	41139000
11.04.2000 00:00	1.43	1.54	1.43	1.48	40064000
12.04.2000 00:00	1.5	1.5699999999999998	1.49	1.52	62177000
13.04.2000 00:00	1.5	1.54	1.48	1.51	42462000
14.04.2000 00:00	1.5	1.56	1.5	1.5	40587000
17.04.2000 00:00	1.4	1.44	1.35	1.38	47314000
18.04.2000 00:00	1.45	1.45	1.35	1.39	30743000
19.04.2000 00:00	1.43	1.45	1.38	1.38	24355000
20.04.2000 00:00	1.36	1.42	1.36	1.41	22267000
21.04.2000 00:00	1.41	1.44	1.41	1.44	28710000
24.04.2000 00:00	1.44	1.44	1.39	1.4	16420000
25.04.2000 00:00	1.41	1.44	1.41	1.42	10263000
26.04.2000 00:00	1.45	1.49	1.44	1.48	34672000
27.04.2000 00:00	1.48	1.51	1.41	1.43	29463000
02.05.2000 00:00	1.49	1.5	1.46	1.49	23847000
03.05.2000 00:00	1.47	1.5	1.47	1.47	10038000
04.05.2000 00:00	1.46	1.47	1.45	1.46	11853000
05.05.2000 00:00	1.47	1.47	1.44	1.45	8649000
09.05.2000 00:00	1.47	1.48	1.46	1.47	6761000
10.05.2000 00:00	1.49	1.49	1.45	1.46	16208000
